Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60529503,"My Body: Was es heißt, eine Frau zu sein",Emily Ratajkowski,"Ratajkowski, Emily",Stephanie Singh,"=""332860250X""","=""9783328602507""",4,3.98,Penguin Verlag,Hardcover,240,2022,2021,2023/08/02,2023/08/02,,,read,Emrata sounds like the name of a Pokémon ,,,1,0
61361681,Clytemnestra,Costanza Casati,"Casati, Costanza",,"=""1728268230""","=""9781728268231""",3,4.22,Sourcebooks Landmark,Hardcover,435,2023,2023,,2023/07/29,,,read,Just because you completed your classics breadth doesn’t mean you can write,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2023/07/25,to-read,to-read (#7),to-read,,,,0,0
41571759,Conscious: A Brief Guide to the Fundamental Mystery of the Mind,Annaka Harris,"Harris, Annaka",,"=""0062906712""","=""9780062906717""",4,3.83,Harper,Hardcover,144,2019,2019,,2023/07/21,,,read,Panpsychism!! ,,,1,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",2,3.84,Dante University Press,Paperback,144,2014,1532,,2023/07/03,,,read,Every bit as boring as Drallos made it out to be ,,,1,0
15917050,Girl with a Pearl Earring: Dutch Paintings from the Mauritshuis,Lea van der Vinde,"Vinde, Lea van der","Quentin Buvelot, Emilie Gordenker, Petria Noble, Lynn Federle Orr, Ariane van Suchtelen","=""3791352253""","=""9783791352251""",1,4.24,Prestel,Hardcover,144,2013,2013,,2023/06/26,,,read,"I feel like the author got a lobotomy and to test if the procedure went according to plan, they asked them to write something down, and this garbage is what came out. ",,,1,0
50484473,Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""052554187X""","=""9780525541875""",4,4.03,Portfolio,Hardcover,352,2020,2020,,2023/06/08,,,read,You cannot implicate me in your ugliness ,,,1,0
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,"Rand, Ayn",,"=""0451163087""","=""9780451163080""",4,3.70,Signet Book,Mass Market Paperback,224,1963,1961,2023/05/28,2023/05/28,,,read,,,,1,0
31300,"A Caribbean Mystery (Miss Marple, #9)",Agatha Christie,"Christie, Agatha",,"=""0451199928""","=""9780451199928""",4,3.85,Signet,Mass Market Paperback,224,2000,1964,,2023/05/24,,,read,,,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",4,4.28,Penguin Books,Paperback,254,2006,180,2023/05/17,2023/04/23,,,read,“Don’t waste your time by reading” ,,,1,0
11334,Song of Solomon,Toni Morrison,"Morrison, Toni",,"=""140003342X""","=""9781400033423""",3,4.16,Vintage,Paperback,338,2004,1977,,2023/05/15,,,read,,,,1,0
